Acct#,DateCum,Sec Long Exposure,Sec Short Exposure,Sec Net Exposure,Margin Adj per Trade,(Adj) Margin Fees,(Adj) Short Sell Interest,(Adj) TD Interest,(EOD) Cash ava Bal,(EOD) Margin Loan Bal,(EOD) AuM = Cash ava + Sec Net Bal,,AuM,Daily Return (%),Geo Metric Rtn,Cumulative Rtns,YTD return,,,,,,,,,,,
D0001,1/8/2022,"55,135","(289,301)","(234,166)","155,564",0 ,(49),0 ,"732,875 ",0 ,"498,757 ",,"498,757 ",0.38%,100.38%,99.75%,,,,,,,,,,,,
D0001,1/9/2022,"50,705","(291,298)","(240,593)","157,997",0 ,(49),0 ,"739,549 ",0 ,"499,006 ",,"499,006 ",0.05%,100.05%,99.80%,,,,,,,,,,,,
D0001,1/10/2022,"50,357","(286,602)","(236,246)","163,041",0 ,(49),0 ,"739,550 ",0 ,"503,353 ",,"503,353 ",0.87%,100.87%,100.67%,,,,,,,,,,,,
D0001,1/11/2022,"51,567","(289,567)","(238,000)","158,866",0 ,(49),0 ,"739,550 ",0 ,"501,599 ",,"501,599 ",(0.35%),99.65%,100.32%,,,,,,,,,,,,
D0001,1/12/2022,"51,492","(291,277)","(239,785)","157,231",0 ,(49),0 ,"739,549 ",0 ,"499,814 ",,"499,814 ",(0.36%),99.64%,99.96%,,,,,,,,,,,,
D0001,1/13/2022,"50,222","(283,113)","(232,892)","166,665",0 ,(48),0 ,"739,551 ",0 ,"506,707 ",,"506,707 ",1.38%,101.38%,101.34%,,,,,,,,,,,,
D0001,1/14/2022,"50,489","(276,758)","(226,269)","172,753",0 ,(47),0 ,"739,552 ",0 ,"513,330 ",,"513,330 ",1.31%,101.31%,102.67%,2.67%,,,,,,,,,,,
D0002,12/31/2021,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",,,,,,,,,,,,,,,
D0002,1/1/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0002,1/2/2022,"50,301","(2,284)","48,017","447,415",0 ,(0),0 ,"452,489 ",0 ,"500,507 ",,"500,507 ",0.10%,100.10%,100.10%,,,,,,,,,,,,
D0002,1/3/2022,"29,691",0,"29,691","470,309",0 ,(0),0 ,"470,743 ",0 ,"500,434 ",,"500,434 ",(0.01%),99.99%,100.09%,,,,,,,,,,,,
D0002,1/4/2022,"29,586",0,"29,586","470,414",0 ,(0),0 ,"470,743 ",0 ,"500,329 ",,"500,329 ",(0.02%),99.98%,100.07%,,,,,,,,,,,,
D0002,1/5/2022,"29,095",0,"29,095","470,905",0 ,(0),0 ,"470,743 ",0 ,"499,838 ",,"499,838 ",(0.10%),99.90%,99.97%,,,,,,,,,,,,
D0002,1/6/2022,"28,594",0,"28,594","471,406",0 ,(0),0 ,"470,743 ",0 ,"499,337 ",,"499,337 ",(0.10%),99.90%,99.87%,,,,,,,,,,,,
D0002,1/7/2022,"28,178",0,"28,178","471,822",0 ,(0),0 ,"470,743 ",0 ,"498,921 ",,"498,921 ",(0.08%),99.92%,99.78%,,,,,,,,,,,,
D0002,1/8/2022,"28,175",0,"28,175","471,825",0 ,(0),0 ,"470,743 ",0 ,"498,918 ",,"498,918 ",(0.00%),100.00%,99.78%,,,,,,,,,,,,
D0002,1/9/2022,"28,159",0,"28,159","471,841",0 ,(0),0 ,"470,743 ",0 ,"498,902 ",,"498,902 ",(0.00%),100.00%,99.78%,,,,,,,,,,,,
D0002,1/10/2022,"24,037","(675,268)","(651,231)","(199,305)",(25),(115),0 ,"1,138,103 ","178,657 ","487,012 ",,"487,012 ",(2.38%),97.62%,97.40%,,,,,,,,,,,,
D0002,1/11/2022,"23,734","(685,400)","(661,666)","(209,134)",(25),(116),0 ,"1,138,102 ","178,657 ","476,577 ",,"476,577 ",(2.14%),97.86%,95.32%,,,,,,,,,,,,
D0002,1/12/2022,"24,100","(716,392)","(692,292)","(240,492)",(25),(122),0 ,"1,138,096 ","178,657 ","445,951 ",,"445,951 ",(6.43%),93.57%,89.19%,,,,,,,,,,,,
D0002,1/13/2022,"22,986","(708,048)","(685,062)","(231,034)",(25),(120),0 ,"1,138,098 ","178,657 ","453,181 ",,"453,181 ",1.62%,101.62%,90.64%,,,,,,,,,,,,
D0002,1/14/2022,"22,881","(705,366)","(682,485)","(228,247)",(25),(120),0 ,"1,138,098 ","178,657 ","455,758 ",,"455,758 ",0.57%,100.57%,91.15%,-8.85%,,,,,,,,,,,
D0003,12/31/2021,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",,,,,,,,,,,,,,,
D0003,1/1/2022,"110,315",0,"110,315","385,912",0 ,0 ,0 ,"424,206 ",0 ,"534,520 ",,"534,520 ",6.90%,106.90%,106.90%,,,,,,,,,,,,
D0003,1/2/2022,"77,197","(5,000)","72,197","414,030",0 ,(1),0 ,"459,205 ",0 ,"531,402 ",,"531,402 ",(0.58%),99.42%,106.28%,,,,,,,,,,,,
D0003,1/3/2022,"74,064","(5,000)","69,064","417,162",0 ,(1),0 ,"459,205 ",0 ,"528,269 ",,"528,269 ",(0.59%),99.41%,105.65%,,,,,,,,,,,,
D0003,1/4/2022,"241,872","(5,000)","236,872","249,356",0 ,(1),0 ,"288,205 ",0 ,"525,077 ",,"525,077 ",(0.60%),99.40%,105.02%,,,,,,,,,,,,
D0003,1/5/2022,"231,200","(5,000)","226,200","260,027",0 ,(1),0 ,"288,205 ",0 ,"514,406 ",,"514,406 ",(2.03%),97.97%,102.88%,,,,,,,,,,,,
D0003,1/6/2022,"230,621","(5,000)","225,621","260,603",0 ,(1),0 ,"288,205 ",0 ,"513,827 ",,"513,827 ",(0.11%),99.89%,102.77%,,,,,,,,,,,,
D0003,1/7/2022,"229,818","(5,000)","224,818","261,408",0 ,(1),0 ,"288,205 ",0 ,"513,023 ",,"513,023 ",(0.16%),99.84%,102.60%,,,,,,,,,,,,
D0003,1/8/2022,"226,702","(5,000)","221,702","264,524",0 ,(1),0 ,"288,205 ",0 ,"509,908 ",,"509,908 ",(0.61%),99.39%,101.98%,,,,,,,,,,,,
D0003,1/9/2022,"223,583","(5,000)","218,583","267,643",0 ,(1),0 ,"288,205 ",0 ,"506,788 ",,"506,788 ",(0.61%),99.39%,101.36%,,,,,,,,,,,,
D0003,1/10/2022,"224,427","(5,000)","219,427","266,799",0 ,(1),0 ,"288,205 ",0 ,"507,633 ",,"507,633 ",0.17%,100.17%,101.53%,,,,,,,,,,,,
D0003,1/11/2022,"223,962","(5,000)","218,962","267,264",0 ,(1),0 ,"288,205 ",0 ,"507,168 ",,"507,168 ",(0.09%),99.91%,101.43%,,,,,,,,,,,,
D0003,1/12/2022,"228,935","(5,000)","223,935","262,294",0 ,(1),0 ,"288,205 ",0 ,"512,140 ",,"512,140 ",0.98%,100.98%,102.43%,,,,,,,,,,,,
D0003,1/13/2022,"223,614","(5,000)","218,614","267,617",0 ,(1),0 ,"288,205 ",0 ,"506,819 ",,"506,819 ",(1.04%),98.96%,101.36%,,,,,,,,,,,,
D0003,1/14/2022,"219,783","(5,000)","214,783","271,450",0 ,(1),0 ,"288,205 ",0 ,"502,988 ",,"502,988 ",(0.76%),99.24%,100.60%,0.60%,,,,,,,,,,,
D0004,12/31/2021,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",,,,,,,,,,,,,,,
D0004,1/1/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0004,1/2/2022,"103,177",0,"103,177","396,823",0 ,0 ,0 ,"396,154 ",0 ,"499,331 ",,"499,331 ",(0.13%),99.87%,99.87%,,,,,,,,,,,,
D0004,1/3/2022,"155,250",0,"155,250","341,919",0 ,0 ,0 ,"365,252 ",0 ,"520,502 ",,"520,502 ",4.24%,104.24%,104.10%,,,,,,,,,,,,
D0004,1/4/2022,"158,553",0,"158,553","373,690",0 ,0 ,0 ,"382,071 ",0 ,"540,623 ",,"540,623 ",3.87%,103.87%,108.12%,,,,,,,,,,,,
D0004,1/5/2022,"153,590",0,"153,590","377,100",0 ,0 ,0 ,"382,071 ",0 ,"535,661 ",,"535,661 ",(0.92%),99.08%,107.13%,,,,,,,,,,,,
D0004,1/6/2022,"151,145",0,"151,145","378,007",0 ,0 ,0 ,"382,071 ",0 ,"533,215 ",,"533,215 ",(0.46%),99.54%,106.64%,,,,,,,,,,,,
D0004,1/7/2022,"149,065",0,"149,065","378,515",0 ,0 ,0 ,"382,071 ",0 ,"531,136 ",,"531,136 ",(0.39%),99.61%,106.23%,,,,,,,,,,,,
D0004,1/8/2022,"146,735",0,"146,735","379,288",0 ,0 ,0 ,"382,071 ",0 ,"528,805 ",,"528,805 ",(0.44%),99.56%,105.76%,,,,,,,,,,,,
D0004,1/9/2022,"144,395",0,"144,395","380,067",0 ,0 ,0 ,"382,071 ",0 ,"526,466 ",,"526,466 ",(0.44%),99.56%,105.29%,,,,,,,,,,,,
D0004,1/10/2022,"142,712",0,"142,712","380,185",0 ,0 ,0 ,"382,071 ",0 ,"524,782 ",,"524,782 ",(0.32%),99.68%,104.96%,,,,,,,,,,,,
D0004,1/11/2022,"141,488",0,"141,488","379,850",0 ,0 ,0 ,"382,071 ",0 ,"523,559 ",,"523,559 ",(0.23%),99.77%,104.71%,,,,,,,,,,,,
D0004,1/12/2022,"136,730",0,"136,730","383,038",0 ,0 ,0 ,"382,071 ",0 ,"518,801 ",,"518,801 ",(0.91%),99.09%,103.76%,,,,,,,,,,,,
D0004,1/13/2022,"134,278",0,"134,278","383,923",0 ,0 ,0 ,"382,071 ",0 ,"516,348 ",,"516,348 ",(0.47%),99.53%,103.27%,,,,,,,,,,,,
D0004,1/14/2022,"129,537",0,"129,537","387,099",0 ,0 ,0 ,"382,071 ",0 ,"511,607 ",,"511,607 ",(0.92%),99.08%,102.32%,2.32%,,,,,,,,,,,
D0005,12/31/2021,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",,,,,,,,,,,,,,,
D0005,1/1/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0005,1/2/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0005,1/3/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0005,1/4/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0005,1/5/2022,"26,504","(34,299)","(7,795)","500,000",0 ,0 ,0 ,"507,795 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0005,1/6/2022,"43,223","(33,544)","9,679","482,520",0 ,0 ,0 ,"490,595 ",0 ,"500,274 ",,"500,274 ",0.05%,100.05%,100.05%,,,,,,,,,,,,
D0005,1/7/2022,"24,953","(37,180)","(12,228)","465,159",0 ,(1),0 ,"529,422 ",0 ,"517,195 ",,"517,195 ",3.38%,103.38%,103.44%,,,,,,,,,,,,
D0005,1/8/2022,"24,174","(36,402)","(12,228)","466,717",0 ,(1),0 ,"529,422 ",0 ,"517,194 ",,"517,194 ",(0.00%),100.00%,103.44%,,,,,,,,,,,,
D0005,1/9/2022,"23,395","(35,623)","(12,228)","468,276",0 ,(1),0 ,"529,422 ",0 ,"517,194 ",,"517,194 ",(0.00%),100.00%,103.44%,,,,,,,,,,,,
D0005,1/10/2022,"22,608","(34,936)","(12,328)","469,742",0 ,(1),0 ,"529,422 ",0 ,"517,095 ",,"517,095 ",(0.02%),99.98%,103.42%,,,,,,,,,,,,
D0005,1/11/2022,"21,829","(34,225)","(12,396)","471,232",0 ,(1),0 ,"529,422 ",0 ,"517,027 ",,"517,027 ",(0.01%),99.99%,103.41%,,,,,,,,,,,,
D0005,1/12/2022,"21,039","(33,639)","(12,600)","472,595",0 ,(1),0 ,"529,422 ",0 ,"516,823 ",,"516,823 ",(0.04%),99.96%,103.36%,,,,,,,,,,,,
D0005,1/13/2022,"20,249","(32,789)","(12,540)","474,220",0 ,(1),0 ,"529,422 ",0 ,"516,883 ",,"516,883 ",0.01%,100.01%,103.38%,,,,,,,,,,,,
D0005,1/14/2022,"19,462","(31,981)","(12,519)","475,804",0 ,(1),0 ,"529,422 ",0 ,"516,904 ",,"516,904 ",0.00%,100.00%,103.38%,3.38%,,,,,,,,,,,
D0006,12/31/2021,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",,,,,,,,,,,,,,,
D0006,1/1/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/2/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/3/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/4/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/5/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/6/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/7/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/8/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/9/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/10/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/11/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/12/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/13/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0.00%,100.00%,100.00%,,,,,,,,,,,,
D0006,1/14/2022,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",0,1,100.00%,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
